,1,2,3,5,6,7,action,reward
0,0.5555548,0.5795887,0.8787911,0.79440904,0.7115628,1.0,8,3.9759660959243774
1,0.5579507,0.5795887,0.8287911,0.7947597,0.71109766,1.0,8,3.978361964225769
2,0.5643224,0.5795887,0.8287911,0.7950924,0.71060926,1.0,0,3.9847337007522583
3,0.5721646,0.5795887,0.8162911,0.7953542,0.71002084,1.0,6,4.9925758838653564
4,0.5806477,0.5795887,0.7662911,0.79549044,0.7093709,1.0,8,4.998941004276276
5,0.5911387,0.5795887,0.7162911,0.7955611,0.7087196,1.0,8,4.988449990749359
6,0.6046579,0.5795887,0.6662911,0.79555476,0.70797366,1.0,8,2.9749308228492737
7,0.62142473,0.5795887,0.6162911,0.79551923,0.70732266,1.0,8,2.9581639766693115
8,0.6407354,0.5795887,0.5662911,0.7954885,0.70675784,1.0,8,0.9388533234596252
9,0.66223145,0.5795887,0.5162911,0.7955023,0.70609605,1.0,8,0.9173572659492493
10,0.6852601,0.5795887,0.4662911,0.79560214,0.7053672,1.0,8,0.8943285942077637
11,0.7099833,0.5795887,0.41629112,0.7958572,0.7046231,1.0,8,0.8696054220199585
12,0.7359248,0.5795887,0.3662911,0.796364,0.7038701,1.0,8,0.8436639308929443
13,0.7629561,0.5795887,0.3162911,0.7968547,0.7029909,1.0,8,0.8166326284408569
14,0.79057264,0.5795887,0.2662911,0.79740566,0.70211375,1.0,8,0.78901606798172
15,0.8189245,0.5795887,0.2162911,0.7980189,0.7012141,1.0,8,0.7606642246246338
16,0.8476485,0.5795887,0.1662911,0.79872286,0.70031995,1.0,8,0.7319402098655701
17,0.8765844,0.5795887,0.116291106,0.7994895,0.6994297,1.0,8,0.7030043005943298
18,0.9055282,0.5795887,0.06629111,0.8003908,0.6985978,1.0,8,0.6740605235099792
19,0.9344686,0.5795887,0.016291106,0.8013071,0.69789094,1.0,8,0.6451200842857361
20,0.96330684,0.5795887,0.0,0.8023039,0.69723517,1.0,8,0.6162818670272827
21,0.9911608,0.5795887,0.0,0.80343246,0.69666827,1.0,8,0.5884279012680054
22,1.0,0.5795887,0.0,0.80460405,0.69609314,1.0,8,0.5795887112617493
23,1.0,0.5795887,0.0,0.8057599,0.69551444,1.0,8,0.5795887112617493
24,1.0,0.5795887,0.0,0.8069749,0.69490844,1.0,8,0.5795887112617493
