TimeStamp,LIC101_PV_%,LIC101_SV_%,LIC101_MV_%,FI101_PV_gpm,FIC11_PV_gpm,FIC12_PV_gpm,FIC13_PV_gpm
2023-03-03 02:00:00,51.96359,51.81939,64.49349,200.29247,105.986755,90.10848,0.0
2023-03-03 02:00:01,51.96034,51.81939,64.37496,199.65752,105.97416,90.10159,0.0
2023-03-03 02:00:02,51.957035,51.81939,64.38125,199.69116,105.95945,90.09294,0.0
2023-03-03 02:00:03,51.953682,51.81939,64.38733,199.7237,105.94151,90.08697,0.0
2023-03-03 02:00:04,51.95028,51.81939,64.3932,199.75513,105.922195,90.08327,0.0
2023-03-03 02:00:05,51.946827,51.81939,64.39887,199.78543,105.904335,90.07799,0.0
2023-03-03 02:00:06,51.94333,51.81939,64.40433,199.81464,105.88641,90.07422,0.0
2023-03-03 02:00:07,51.939785,51.81939,64.40957,199.8427,105.870125,90.0697,0.0
2023-03-03 02:00:08,51.936195,51.81939,64.4146,199.8696,105.85494,90.06226,0.0
2023-03-03 02:00:09,51.932568,51.81939,64.4194,199.89536,105.84028,90.05732,0.0
2023-03-03 02:00:10,51.928898,51.81939,64.423996,199.91994,105.82436,90.051186,0.0
2023-03-03 02:00:11,51.925186,51.81939,64.42837,199.94336,105.80972,90.04444,0.0
2023-03-03 02:00:12,51.921436,51.81939,64.43252,199.96558,105.79523,90.04018,0.0
2023-03-03 02:00:13,51.917652,51.81939,64.43644,199.9866,105.778755,90.03742,0.0
2023-03-03 02:00:14,51.91383,51.81939,64.44014,200.00642,105.76075,90.03526,0.0
2023-03-03 02:00:15,51.909973,51.81939,64.44361,200.02502,105.74268,90.03417,0.0
2023-03-03 02:00:16,51.906086,51.81939,64.44686,200.0424,105.724785,90.03371,0.0
2023-03-03 02:00:17,51.902164,51.81939,64.44988,200.05861,105.70394,90.03359,0.0
2023-03-03 02:00:18,51.89821,51.81939,64.45267,200.07356,105.68236,90.0326,0.0
2023-03-03 02:00:19,51.894222,51.81939,64.45522,200.08723,105.66274,90.03243,0.0
2023-03-03 02:00:20,51.890205,51.81939,64.45754,200.09969,105.64461,90.03106,0.0
2023-03-03 02:00:21,51.88616,51.81939,64.45963,200.11086,105.62668,90.02996,0.0
2023-03-03 02:00:22,51.88209,51.81939,64.46149,200.1208,105.61091,90.02645,0.0
2023-03-03 02:00:23,51.878,51.81939,64.463104,200.12949,105.59951,90.02304,0.0
2023-03-03 02:00:24,51.873886,51.81939,64.464485,200.13689,105.58672,90.01867,0.0
2023-03-03 02:00:25,51.86975,51.81939,64.46563,200.14304,105.57443,90.01457,0.0
2023-03-03 02:00:26,51.865597,51.81939,64.46654,200.1479,105.5597,90.01261,0.0
