TimeStamp,LIC101_PV_%,LIC101_SV_%,LIC101_MV_%,FI101_PV_gpm,FIC11_PV_gpm,FIC12_PV_gpm,FIC13_PV_gpm
2023-03-01 05:33:20,52.22705,42.59754,87.6667,372.6071,142.5097,177.8974,49.855064
2023-03-01 05:33:21,52.178154,42.59754,92.50277,424.14243,142.52399,177.87486,49.87727
2023-03-01 05:33:22,52.124023,42.59754,93.0077,429.9182,142.53745,177.85106,49.899994
2023-03-01 05:33:23,52.064644,42.59754,93.50729,435.7104,142.55363,177.82375,49.922237
2023-03-01 05:33:24,52.000008,42.59754,94.00127,441.51404,142.57173,177.79709,49.943897
2023-03-01 05:33:25,51.93011,42.59754,94.48932,447.3241,142.58997,177.76984,49.965572
2023-03-01 05:33:26,51.85495,42.59754,94.97115,453.13522,142.6104,177.74095,49.98802
2023-03-01 05:33:27,51.774532,42.59754,95.44649,458.9418,142.63084,177.70999,50.01136
2023-03-01 05:33:28,51.688866,42.59754,95.91503,464.73828,142.65253,177.67738,50.03781
2023-03-01 05:33:29,51.597965,42.59754,96.3765,470.5188,142.67293,177.64554,50.065914
2023-03-01 05:33:30,51.501858,42.59754,96.83062,476.2774,142.69418,177.61456,50.098488
2023-03-01 05:33:31,51.400574,42.59754,97.27711,482.00797,142.71756,177.58304,50.131153
2023-03-01 05:33:32,51.29414,42.59754,97.7157,487.70425,142.74275,177.5522,50.163704
2023-03-01 05:33:33,51.182594,42.59754,98.14612,493.3599,142.76555,177.52023,50.195217
2023-03-01 05:33:34,51.06598,42.59754,98.5681,498.96838,142.78853,177.48947,50.22937
2023-03-01 05:33:35,50.944347,42.59754,98.981384,504.52304,142.81126,177.45663,50.2662
2023-03-01 05:33:36,50.81775,42.59754,99.38573,510.01727,142.82968,177.42416,50.301495
2023-03-01 05:33:37,50.686237,42.59754,99.78087,515.4444,142.84544,177.39104,50.336445
2023-03-01 05:33:38,50.55199,42.59754,100.0,518.4789,142.86107,177.36,50.372623
2023-03-01 05:33:39,50.417763,42.59754,100.0,518.4789,142.87788,177.32751,50.40943
2023-03-01 05:33:40,50.283554,42.59754,100.0,518.4789,142.89236,177.29681,50.444687
2023-03-01 05:33:41,50.14936,42.59754,100.0,518.4789,142.90509,177.26767,50.47818
2023-03-01 05:33:42,50.015182,42.59754,100.0,518.4789,142.91606,177.2387,50.515034
2023-03-01 05:33:43,49.881023,42.59754,100.0,518.4789,142.9272,177.21028,50.553493
