TimeStamp,LIC101_PV_%,LIC101_SV_%,LIC101_MV_%,FI101_PV_gpm,FIC11_PV_gpm,FIC12_PV_gpm,FIC13_PV_gpm
2023-03-01 00:00:00,78.6355,50.0,64.46731,200.15202,51.656452,23.758408,124.77301
2023-03-01 00:00:01,78.54957,50.0,78.92824,294.84366,51.654938,23.75719,124.76798
2023-03-01 00:00:02,78.452415,50.0,80.45979,307.19156,51.652428,23.75384,124.76233
2023-03-01 00:00:03,78.34365,50.0,81.98096,319.96744,51.65089,23.75005,124.755394
2023-03-01 00:00:04,78.222885,50.0,83.49091,333.17462,51.648247,23.746782,124.74634
2023-03-01 00:00:05,78.08972,50.0,84.98883,346.81506,51.64446,23.742966,124.73639
2023-03-01 00:00:06,77.94376,50.0,86.47384,360.88925,51.639675,23.739529,124.72492
2023-03-01 00:00:07,77.78462,50.0,87.94507,375.39584,51.635418,23.737446,124.713745
2023-03-01 00:00:08,77.61191,50.0,89.40161,390.33206,51.632782,23.736387,124.70147
2023-03-01 00:00:09,77.42523,50.0,90.842545,405.69293,51.62925,23.736353,124.68968
2023-03-01 00:00:10,77.22422,50.0,92.26693,421.47134,51.62366,23.736542,124.67738
2023-03-01 00:00:11,77.00851,50.0,93.673805,437.65817,51.618633,23.741882,124.665924
2023-03-01 00:00:12,76.777725,50.0,95.0622,454.2417,51.614647,23.744093,124.65299
2023-03-01 00:00:13,76.53153,50.0,96.43112,471.20776,51.61185,23.745358,124.64194
2023-03-01 00:00:14,76.26959,50.0,97.77957,488.5394,51.60944,23.747477,124.6317
2023-03-01 00:00:15,75.99159,50.0,99.10653,506.2171,51.605213,23.748524,124.62117
2023-03-01 00:00:16,75.702446,50.0,100.0,518.4789,51.599316,23.749052,124.61133
2023-03-01 00:00:17,75.41329,50.0,100.0,518.4789,51.593582,23.752203,124.60039
2023-03-01 00:00:18,75.12412,50.0,100.0,518.4789,51.589447,23.756079,124.58843
2023-03-01 00:00:19,74.83494,50.0,100.0,518.4789,51.583313,23.754929,124.57889
2023-03-01 00:00:20,74.54574,50.0,100.0,518.4789,51.576023,23.754028,124.56976
2023-03-01 00:00:21,74.25652,50.0,100.0,518.4789,51.569683,23.752274,124.56251
2023-03-01 00:00:22,73.9673,50.0,100.0,518.4789,51.564808,23.752296,124.555824
2023-03-01 00:00:23,73.67807,50.0,100.0,518.4789,51.560604,23.751839,124.550735
2023-03-01 00:00:24,73.38883,50.0,100.0,518.4789,51.55582,23.751793,124.54734
2023-03-01 00:00:25,73.09959,50.0,100.0,518.4789,51.55227,23.752207,124.5442
2023-03-01 00:00:26,72.81033,50.0,100.0,518.4789,51.54736,23.752075,124.54093
2023-03-01 00:00:27,72.52107,50.0,100.0,518.4789,51.542904,23.752699,124.53775
2023-03-01 00:00:28,72.231804,50.0,100.0,518.4789,51.53837,23.752283,124.53374
2023-03-01 00:00:29,71.94253,50.0,100.0,518.4789,51.534534,23.74979,124.528534
2023-03-01 00:00:30,71.653244,50.0,100.0,518.4789,51.530155,23.749214,124.52295
2023-03-01 00:00:31,71.36395,50.0,100.0,518.4789,51.52197,23.752483,124.518005
2023-03-01 00:00:32,71.07465,50.0,100.0,518.4789,51.515152,23.756319,124.51349
2023-03-01 00:00:33,70.78535,50.0,100.0,518.4789,51.508564,23.76078,124.50988
2023-03-01 00:00:34,70.49603,50.0,100.0,518.4789,51.50429,23.76381,124.50593
2023-03-01 00:00:35,70.20672,50.0,100.0,518.4789,51.50036,23.76807,124.50251
2023-03-01 00:00:36,69.917404,50.0,100.0,518.4789,51.496067,23.770918,124.50018
2023-03-01 00:00:37,69.62808,50.0,100.0,518.4789,51.49222,23.7719,124.4992
2023-03-01 00:00:38,69.33876,50.0,100.0,518.4789,51.48827,23.774635,124.49873
2023-03-01 00:00:39,69.04943,50.0,100.0,518.4789,51.481155,23.776245,124.49479
2023-03-01 00:00:40,68.760086,50.0,100.0,518.4789,51.474144,23.775772,124.48857
2023-03-01 00:00:41,68.470726,50.0,100.0,518.4789,51.466255,23.77567,124.48124
2023-03-01 00:00:42,68.18136,50.0,100.0,518.4789,51.457817,23.77851,124.47202
2023-03-01 00:00:43,67.891975,50.0,100.0,518.4789,51.448456,23.781237,124.462906
2023-03-01 00:00:44,67.60258,50.0,100.0,518.4789,51.438103,23.786486,124.457275
2023-03-01 00:00:45,67.31317,50.0,100.0,518.4789,51.429394,23.793415,124.45022
2023-03-01 00:00:46,67.023766,50.0,100.0,518.4789,51.422207,23.802906,124.445526
2023-03-01 00:00:47,66.73436,50.0,100.0,518.4789,51.415398,23.808863,124.44388
2023-03-01 00:00:48,66.44495,50.0,100.0,518.4789,51.40866,23.813456,124.44008
2023-03-01 00:00:49,66.15553,50.0,100.0,518.4789,51.400543,23.81915,124.43995
2023-03-01 00:00:50,65.86611,50.0,100.0,518.4789,51.392254,23.821499,124.44004
2023-03-01 00:00:51,65.57668,50.0,100.0,518.4789,51.383747,23.824284,124.43781
2023-03-01 00:00:52,65.28725,50.0,100.0,518.4789,51.376453,23.825867,124.435
2023-03-01 00:00:53,64.9978,50.0,100.0,518.4789,51.36872,23.825918,124.43273
2023-03-01 00:00:54,64.70835,50.0,100.0,518.4789,51.364075,23.824724,124.427345
2023-03-01 00:00:55,64.418884,50.0,100.0,518.4789,51.360115,23.821095,124.42143
2023-03-01 00:00:56,64.1294,50.0,100.0,518.4789,51.357304,23.81731,124.41395
2023-03-01 00:00:57,63.83991,50.0,100.0,518.4789,51.353367,23.814585,124.405365
2023-03-01 00:00:58,63.5504,50.0,100.0,518.4789,51.348354,23.815657,124.39438
2023-03-01 00:00:59,63.260883,50.0,100.0,518.4789,51.344696,23.81763,124.38746
2023-03-01 00:01:00,62.971363,50.0,100.0,518.4789,51.341877,23.820377,124.38023
2023-03-01 00:01:01,62.68184,50.0,100.0,518.4789,51.339584,23.825583,124.37376
2023-03-01 00:01:02,62.39231,50.0,100.0,518.4789,51.337048,23.829853,124.369865
2023-03-01 00:01:03,62.102783,50.0,100.0,518.4789,51.333553,23.832733,124.37028
2023-03-01 00:01:04,61.81326,50.0,100.0,518.4789,51.33373,23.83498,124.37034
2023-03-01 00:01:05,61.523735,50.0,100.0,518.4789,51.33218,23.837276,124.37088
2023-03-01 00:01:06,61.23421,50.0,100.0,518.4789,51.33041,23.838064,124.37333
2023-03-01 00:01:07,60.944687,50.0,100.0,518.4789,51.3274,23.838408,124.37461
2023-03-01 00:01:08,60.65516,50.0,100.0,518.4789,51.32276,23.838911,124.37619
2023-03-01 00:01:09,60.36563,50.0,100.0,518.4789,51.31984,23.838285,124.3781
